input	output
future improvementsadherencedespite the positives, participants did voice some areas they would like to improve.	negative
a previous study has reported that afb1 at 3 – 30 μm decreased transcript level of claudin - 3 and occludin in differentiated caco - 2 cells [ 59 ], consistent with the present study results.	negative
however, the referred approaches are based on a series of particular boundary conditions, such as requiring ( ω2m122 ) / ( r1r2 ), which is not necessarily given for loosely coupled systems with small receiver coils.	negative
aberrant lysosomal carbohydrate storage accompanies endocytic defects and neurodegeneration in drosophila benchwarmer j.	positive
in addition, the anti - obesity function of high stability fucoxanthin ( hsfx ) was suggested and extensively discussed [ 9, 10 ].	negative
high electrolytic conductance ( 1. 46 × 10−1 ms cm−1 at 70 °c ), wide electrochemical stability window ( 4. 5 v vs. na + / na ), and good mechanical stability were achieved by the gpe.	positive
despite the plethora of therapies used to combat diabetes and its complications in primary and secondary prevention, the cardiovascular morbidity and mortality in these patients remains unacceptably high [ 4 ].	positive
we did not include studies reporting on retrospectively derived child psychopathology obtained from patients first diagnosed with bd as adults because of the risk of selection and recall biases.	positive
a sensor with a single pair of transducers would have made the measurement less precise, due to the lack of accuracy in positioning the sensor on the radial artery. the novelty of our proposed sensor consists in its unique technological flow.	positive
key challenges and future directionsml methods including, recently, dl algorithms have become a rapidly growing research area, redefining the state - of - the - art performance for a wide range of fields [ 4, 5 ].	positive
in the case of structures with a complex, hyper static scheme, such as the described bridge, intuitive determination of the influences may turn out to be wrong. there are, however, exceptional situations that cannot be detected on the basis of shm measurements.	negative
hanges in mechanical properties, on the one hand, with heat treatment at 1060 °c increased the strength index of the material, but the plasticity was lost ; heat treatment at 1200 °c significantly improved the plasticity, so the anisotropy of mechanical properties almost disappeared, but the strength index decreased slightly. 6. 4.	positive
we also observed that owd transgenic plants showed some reduced growth, delayed flowering, and reduced fecundity ( data not shown ).	negative
it is worth mentioning that the ti / fe / co / ni chemisorptions could induce the diversified energy dispersions because of the edge structures and adatom types.	positive
backbones of the network have been shown to generate more powerful features to distinguish objects than traditional hand - crafted features. rodriguez - sanchez et al.	negative
ice were anesthetized with isoflurane ( baxter, ca, usa ) before blood collection and tissue analyses at indicated time points.	negative
hese factors are tightly correlated to proliferation, differentiation, contractility, and stabilization of endothelial cells, suggesting the involvement of pericytes in angiogenesis via paracrine signaling [ 19, 161, 162, 163, 164 ].	positive
in experiments in mice, it was observed that the dose of 8 gy ionizing radiation per tumor area in combination with the administration of anti - ctla - 4 antibody resulted in disease remission, tumor size reduction, as well as an abscopal effect on the metastases located outside the radiation area, which contributed to the cure of mice and inhibited the development of residual disease.	positive
han y. ren j. bai y. pei x. han y. exosomes from hypoxia - treated human adipose - derived mesenchymal stem cells enhance angiogenesis through vegf / vegf - r int.	positive
( a ) after inflicting hypoxic damage using the co2 chamber, retinal ganglion cells ( rgcs ) were maintained for 24 h in a defined medium.	negative
finally, to further determine whether allelic variation found in these loci is likely to have functional influence on bacterial leaf blight resistance, we use snpeff [ 74 ] to predict whether significantly associated snps have a robust predicted effect on functional outcomes.	positive
after combination treatment, mda - mb 231 cells were inhibited in the g2 / m phase ( in comparison to the single treatments ).	negative
sing a thin film of ybco grown on an off - axis cut srtio3 substrate allows one to investigate these anisotropic transport properties in a planar and well - defined sample geometry employing a homogeneous current density.	positive
( a ) representative histological images of γ - h2ax - positive staining in the renal cortex in the experimental groups.	negative
he information given in table 4 shows that the aforementioned associations of mirna and candidate genes require the development of a validation system of the obtained results, which will allow for identifying the associations that reflect most efficiently the state of the disease.	positive
he decreased inflammatory cytokine levels further evidenced the anti - colitis effects of blidf.	negative
by inhibiting ccr5 or its downstream migratory pathways, the production of mmps was reduced, limiting the invasion capacity of tumour cells [ 86, 90, 91 ].	positive
from the month of may, there was a decrease in cases in all age groups, more markedly in subjects > 50 years of age, which however showed a new increase from mid - august.	negative
go analysis revealed that the target genes were enriched in the biological processes, molecular functions, and cell components ( figure 7a and figure s4 ).	negative
although both cta and mra are more accurate compared to ultrasonography, they have the potential of kidney damage, and when physicians order contrast ct angiography or mra, glomerular filtration rate ( gfr ) must be calculated and patients must be counseled on the risks of nephrotoxicity [ 16 ]. as with all forms of hypertension, the overall goal of managing rvh is to reduce the morbidity and mortality associated with elevated bp [ 20 ].	positive
ing to terms with risk factors for eating disorders : application of risk terminology and suggestions for a general taxonomy psychol.	negative
[ 9 ], in their systematic review on adults and children, outlined that the presence of mutations in some genes ( such as mybpc3, ttn, arrhythmia, and nonsarcomere nonarrythmia genes and x - linked genes ) was associated with an increased risk of adverse events, whereas patients with most common mutations in myh7 were at a lower risk.	negative
fortunately, the model is not neutral about the physical neural substrate, and although it intends to highlight the primacy of consciousness, in practice, the current version falls in reductive accounts.	negative
he occurrence of resistant to one or more of the 16 antimicrobial agents within the townships was 13 ( 81. 3 % ), 12 ( 75. 0 % ), 9 ( 56. 3 % ), 8 ( 50. 0 % ), 1 ( 6. 3 % ), and 1 ( 6. 3 % ) for salmonella isolates recovered from chickens sampled in outlets from soweto, germiston, alexandra, atteridgeville, ranguwa, and tembise / modisa, respectively, and the differences were statistically significant ( p = 0. 0002 ).	negative
pared to patients aged 15 – 34 years, other age groups had a higher risk of non - testing.	negative
globally, high prevalence rates ( > 50 % ) have been reported in the usa, germany, italy, and sri lanka [ 6, 24, 25, 26 ].	negative
if opportunely implemented, biosensors can provide a fast revelation of bacteria together with a high degree of miniaturization and integration of the entire analytical system, ideal for in situ and remote - controlled applications.	positive
some cells exhibiting an epithelial - like phenotype were observed, and up to 100 % of cells showed the epithelial - like morphology could be detected.	negative
he basal activity of autoinhibited pump and constitutive active variant of pmca3 lacking c - terminal domain was also compromised.	negative
an authentic microstructure, reconstructed from experimental lattice diffraction data with locally refined discretization in gb regions, is used to probe effects of local heterogeneities on material response in phase field simulations.	positive
[ 33 ] indicate that in patients with inflammation - related diseases ( e. g., allergy ), immune activation and iron deficiency can lead to anemia due to disruption of iron homeostasis.	positive
despite their use in folkloric medicine, their chemical profiles and biological significance are not yet well established.	negative
interestingly, the current study showed that melatonin supplementation usefully restored the levels of grp78, phospho – ire1α, and atf6 proteins in diabetic obese rats.	positive
it is involved in glutamine - dependent mtor activation to promote glycolysis in cancer cells.	positive
soil carbon losses by water erosion : experimentation and modeling at field and national scales in the uk agric.	negative
hese data are supported by the observation that autophagy protects ecs from high - glucose - induced injury [ 84 ], as has also been reported in diabetic patients, in whom the restoration of autophagy was found to preserve endothelial function, promoting enos activation, thus confirming that intact autophagy is necessary for enos signaling [ 85 ].	positive
his suggests that highly organized electrical structures due to seismogenic processes generate highly ordered geoelectrical signals with larger fisher information and smaller shannon entropy. in conclusion, the results obtained in this study might not only gain insights into a better understanding of the complexity of the mechanical – electrical mechanisms in the earth ’ s crust but also be useful for developing the detection of preseismic electromagnetic signals.	positive
substantial progress has been made by the simultaneous targeting of proteasome and different aspects of mm - associated immune dysfunctions.	negative
sing these computational approaches, a range of potential natural compounds were identified in this work that could prove to be possible drug compounds after the wet lab and clinical studies. 2.	negative
in general, the scenario is conducive to the appearance of relatively serious mental health problems, the scope of which has not yet been clearly delimited. an objective of this article is to study the labour market effects of the covid - 19 pandemic and as such, ample evidence exists of a relationship between work status and well - being.	positive
hey observed an obvious reduction of oxide peak currents in the cv curves of the nanocomposite compared to pure pani owing to the donor - acceptor system.	negative
he immunosuppressive mechanisms employed by neoplastic and non - neoplastic cells within the tumour can limit treatment efficacy, and this can include the secretion of immunosuppressive cytokines and chemokines.	positive
hronic high - fat feeding impairs adaptive induction of mitochondrial fatty acid combustion - associated proteins in brown adipose tissue of mice biochem.	positive
karyotyping, performed during the first drainage of the amniotic fluid, revealed no specific chromosomal abnormalities.	negative
( 2013 ) [ 44 ], prospective study pd - nci = 67pd - mci = 24 wmh pd - mci patients had significantly greater volume of periventricular and deep subcortical wmh than pd - nci. regional wmh significantly greater among pd - mci in the frontal, parietal and occipital regions.	positive
he results partially support the valence - specific hypothesis and are consistent with proposed evolution strategies.	negative
furthermore, these phytochemicals, including various flavonoid compounds, demonstrate their benefits by preventing gut dysbiosis and normalizing the amount and composition of beneficial bacteria such as lactobacillus, akkermansia, and bifidobacteria, while decreasing the population of potentially harmful microbes, as suggested elsewhere [ 219, 262, 286 ].	positive
despite recent advances in the treatment of ovarian carcinomas with specific targeted therapies, especially for angiogenesis and homologous recombination deficiency, the improvement of survival of advanced cancer patients is limited [ 13 ].	positive
vertheless, this review has shown several derivatives and analogues with enhanced biological data, with some of them still undergoing preclinical trials and translational research.	negative
he suppression of proinflammatory mechanisms promotes viral replication and leads to an increased pyroptosis — an inflammatory form of programmed cell death that is usually observed in cytopathic viral infections [ 26 ].	positive
in contrast, the control group in the pre - test and post - test was not statistically significantly different ( p = 0. 3035 ).	negative
hese results were improved by the physical removal of the superficial layer of the hoof [ 2 ].	negative
analysis of the results of the two above studies led to the conclusion that reducing the amount of firmicutes results in a decrease in scfa.	positive
in agreement with the previous data, both extracts were able to significantly increase gsh levels compared to control cells. 3. 4.	negative
furthermore, the prevalence of prediabetes and dm was found to be six - fold higher in nafld patients compared to healthy controls.	negative
hey showed moderate expression levels in various tissues with fpkm values of less than 25. 89.	negative
such mutualistic interactions provide important services to the plant, including improved nutrient uptake, optimized root architecture, plant growth promotion, or enhanced protection against pathogens and pests.	positive
periods in which infections were predicted by the model were considered as positive outcomes ( i. e., p + ; an infection is predicted ) ; similarly, periods in which no infection was predicted were considered as negative outcomes ( i. e., p− ).	negative
hese results not only support the findings obtained with the boyden chamber assay but also highlight the importance of tumor – stroma interactions for establishing the tumor cell phenotype, as basically no invasion was observed in organ culture. to validate these results and to exclude the possibility that re - growth of porcine cells may be responsible for epithelial cell formation, a human - specific anti - hla antibody was used for immunolabeling ( figure 6b ).	positive
ros - mediated autophagy increases intracellular iron levels and ferroptosis by ferritin and transferrin receptor regulation cell.	positive
in figure 3, especially for coll90 / 10bg material, the random distribution of fiber - like structure was observed. 3. 4.	negative
we obtained putatively methicillin - resistant staphylococci from 29 of the 34 nasal samples collected.	negative
dothelial dysfunction is characterized by decreasing bioavailability of enos - derived no, which results in impaired endothelium - dependent vasodilation. antioxidants - 10 - 00377 - t001 _ table 1 table 1 mirna expression in cvd patients, their function in the pathology of cvds, and their potential target genes involved in ros level regulation.	positive
additionally, it is recommended that patients should also wear a mask when outpatient care service is provided [ 33, 34 ].	negative
aeda h. hosokawa m. sashima t. funayama k. miyashita k. fucoxanthin from edible seaweed, undaria pinnatifida, shows antiobesity effect through ucp1 expression in white adipose tissues biochem.	negative
described in central europe sporadically causing cutaneous leishmaniosis in horses [ 14 ] seems to have extended its host range to cattle.	negative
in our study, we also confirmed that sensitization to alt a 6 is significantly higher in subgroup of patients suffering from bronchial asthma.	negative
we retained β values of 7245 kinase - specific unique cpg probes within ±1500 bp from the tss site for differential methylation analysis in the final annotation file.	negative
although the results of figure 11 were affected by the thickness of the specimen, some trends can be extracted.	negative
previously, we showed that ppar - γ regulates the oxidative stress - induced inflammatory response by inducing the expression of antioxidant enzymes, such as catalase, in h. pylori - infected gastric epithelial cells [ 25 ].	positive
significantly increased incidence of pneumonia, myocardial infarction, and heart failure was observed in 30 and 90 days when the patient ’ s surgical waiting time exceeded 36 h. the incidence rates of pneumonia across the early and delayed groups within 30 and 90 days were 4. 4 % vs. 7. 9 %, and 6. 2 % vs. 10. 7 %, those of myocardial infarction were 3. 0 % vs. 7. 2 %, and 5. 7 % vs. 9. 3 %, and those of heart failure were 15. 2 % vs. 26. 8 %, and 16. 2 % vs. 28. 5 %.	negative
he null hypothesis of this study was that the different silver compounds would show no differences in their antibacterial effects. 2.	positive
reover, the coupled phenomena including geometrical non - linearity, densification and plastic deformation cause overall hardening up to the end of the loading.	positive
a total of seven modules were identified ( supplementary table s3 and supplementary figure s3 ) — out of which, two modules ( module 3 and 4 ) are enriched in pathways and genes in tumor progression and angiogenesis - related processes and, therefore, are functionally relevant ( figure 4 ).	negative
zippelius a. schreiner j. herzig p. muller p. induced pd - l1 expression mediates acquired resistance to agonistic anti - cd40 treatment cancer immunol.	positive
[ 41 ] argued that the positive impact of their personalized, web - based intervention on dietary intake may be partly explained by the perceived personal relevance and individualization of the information.	positive
for example, the use of trastuzumab and chloroquine have almost completely inhibited in her2 - positive breast cancer that was previously resistant to trastuzumab [ 112 ].	negative
vertical black lines delimit the aligned regions, while the numbers at the bottom of the vertical lines indicate the coordinates of the aligned regions on the longer contigs.	positive
his may have hindered, to some extent, the correct point - by - point correlation ( location matching ) between mr images and surgical specimens.	negative
hus, maintenance of proper quality control mechanisms is necessary to sustain homeostasis and the ability to respond appropriately to damage, environmental stress or differentiation signals, allowing for proper tissue regeneration. 10.	positive
he cns and the brain tumor microenvironment : implications for glioblastoma immunotherapy int.	negative
regarding the diagnostic performance of conventional parameters, these results appear to be partially inconsistent with the literature.	negative
additionally, other adverse effects have been described, like intraventricular bleeding, cerebral palsy and developmental delay.	negative
suzuki s. morimoto n. hosokawa s. matsushita t. associations of maternal and neonatal serum trace element concentrations with neonatal birth weight plos one 2013 8 e75627 10. 1371 / journal. pone. 0075627 240865945.	negative
similarly, probiotics given in people developing t2dm improve glycemic control [ 65 ]. without any doubt, unraveling and exploring the involved microbial patterns and getting a better knowledge of the microbiota profile should clarify their role in health and disease and should lead to the development of more effective or even alternative therapeutic strategies and nutritional habits. 3. 2.	positive
heless, the inverted u - shaped relationship between environmental degradation and economic growth is confirmed for both the short and the long - run, using the fmols specification and only for the eu 12 group. thus, we may confirm or validate the ekc hypothesis when local pollutants are used but only in the eu 12 group, not being true when the measure adopted is general ghg emissions nor even carbon emissions, for any of the groups of countries analyzed, independently if we are exploring the results in the short - run or the long - run.	positive
( b ) representative if images of pc4 cells expressing fkbp - gfp reporter, transiently transfected with ha - tagged wt ykt6 or indicated phospho - mutants of ykt6 and immunostained with tgn - 46 for trans - golgi or cotransfected with mcherry - sec61 for the er ( er - rfp ).	negative
anticoagulation should generally be discontinued at platelet counts below 25 × 109 / l. a recent study of 774 hypothetical case vignettes managed by 168 physicians suggested that the management process was compatible with these guidelines but that management varied according to physician characteristics and practice setting [ 131 ].	negative
for this purpose, high - capacity, high - speed storage drives would be needed, which from a maintenance point of view, could prove to be an expensive undertaking. the peaks appearing on the force diagrams in shm data often approach the upper safety limit set in the shm system, therefore the cause of their appearance should be determined each time.	positive
we recommend that sensitivity analyses be used to explore the effect of subjective assessments on study results. the covid - 19 pandemic has resulted in a rapid embrace and uptake of these technological advances in both the health care and research settings.	positive
hh ligand binding to patched ( ptch ) inhibits the repressive function of ptch, allowing smo to transduce the signal and triggering of an intracellular cascade that ultimately leads to the activation of the gli transcription factors [ 14, 15, 16 ].	positive
agnetic resonance elastography of liver : technique, analysis, and clinical applications j. magn.	negative
furthermore, the profiles of algal extracts have not been shown to naturally contain fertilizer compounds at the level to qualify it as a fertilizer.	negative
he action of antioxidant molecules is mediated via interactions with multiple cell - signaling pathways by modulating the activity of transcription factors and gene expression [ 27 ].	positive
results and discussionthe fe simulations allowed us to build a database from which the influence of the thermo - viscoplastic behaviour of the deforming material in the load – area relation was investigated.	positive
he 30 studies summarized in table 3 have applied distinct approaches for excluding non - adherent patients including the more classic approaches of self - reported compliance and pill - counts to using various pharmacokinetic cut offs based on tamoxifen concentrations.	negative
figure 8a, b was revealed that 200 and 400 μm of pa significantly ( p < 0. 05 ) increased the proportion of cells in early apoptosis ( annexin v + / pi− cells ; 11 ± 2. 7 and 29 ± 5. 8 %, respectively ) compared with the control group ( 3 ± 1. 8 % ).	positive
paring the data obtained by this method between studies often leads to inconsistent results.	negative
such properties improve the efficiency of many reactions such as the co oxidation, the water - shift reaction, the methanol steam reforming, and the selective oxidation and reduction reactions in the organic liquid phase [ 2, 6 ].	negative
his article is an open access article distributed under the terms and conditions of the creative commons attribution ( cc by ) license ( http : / / creativecommons. org / licenses / by / 4. 0 / ). commelina benghalensis l. is used as a traditional medicine in treating numerous ailments and diseases such as infertility in women, conjunctivitis, gonorrhea, and jaundice.	negative
hild and adolescent problems predict dsm - iv disorders in adulthood : a 14 - year follow - up of a dutch epidemiological sample j.	negative
such data are important for tailoring interventions and for better coordinating the limited medical resources available. it is against this background that the present study was designed to contribute to filling a major knowledge gap, by analyzing the main clinical characteristics and kidney function of elderly patients referred to a large non - university hospital in france, a country where ckd is eligible for fully reimbursed care.	positive
he examined strains belonging to the larger cluster returned high ani values with respect to nctc 9343t ( ~ 99 % ) and ych46 ( ~ 99 % ) and lower values with respect to cnm20180471 ( ~ 87 % ).	negative
in addition, the system could be enriched with inference and data sources merging capabilities.	negative
additionally, profiles of volatile compounds were acquired and compared with literature data.	negative
we believe that a correct assessment of these differences will permit a better understanding of the origin of different structural and conformational properties of normal and cancer dna.	positive
he molecules identified from the screening showed a good binding affinity towards active sites of the mpro.	negative
all snvs were analyzed for previously reported hotspot mutations ( somatic mutations reported in cosmic database ) and novel variations, i. e., new mutations detected by ngs but not reported in either cosmic or db snp databases. 3. 4.	negative
ffects of mindfulness - based interventions on health - related outcomes for patients with heart failure : a systematic review eur.	positive
such approach can create new values for farmers, but also for people employed along the respective value chains.	negative
he patient and diagnostic intervals were associated with an increased risk mortality but were not statistically significant.	negative
in addition to tumor cells, gsh levels are also elevated in hepatocytes ; levels up to 10 mm have been observed [ 518 ], high enough to induce a response in many redox - sensitive ddss.	negative
fortunately, none of the included studies reported these data to allow us to perform this analysis.	negative
identify the factors affecting burnout, multiple regression analysis that analyzed gender - specific personal experience and job stress, and multiple regression analysis with general characteristics, working characteristics, and health behavior was performed, after dividing the study sample according to gender and age. 2. 6.	negative
an additional benefit is that such approaches may identify variants in genes not yet known to be associated with the phenotype, but which are plausible candidates based on their function, such as those encoding for mucins or non - motile cilia.	negative
linical signsthe clinical signs of ibv are similar to those in other respiratory infections except for a few unique lesions that are part of strain variation and difficult to differentiate from other respiratory viral infections.	positive
zhang and collaborators have found that ddx11 - as1 is remarkably over - expressed in osteosarcoma cell lines ( especially u2os and hos ) and its downregulation restrains cell proliferation, migration, and invasion [ 59 ].	positive
knockdown of pkm2 did not affect e7 expression but resulted in a significant reduction in the cell number ( figure 3d ).	positive
his work should serve as a first step towards a further investigation into other essential properties of emergent materials for potential applications.	negative
where attributes are not at the optimum level for a volunteer ( as reflected in just - about - right, jar, ratings ) this may impact liking.	negative
he use of batio3 nps as fillers increased the electrolytic conductance owing to the improvement in the polymer fractions and the amorphous phase of the gpe.	positive
his limited the ability to explore similar and discordant beliefs in one of the groups but further serves to highlight the changing health status and logistical burden for these patients.	negative
as the proportion of ncaa ’ s increases, however, the problem transcends any such fix because the prediction algorithm is left with less legitimate information to work with, and more unknowns which likely influence the fold but are being ignored. of course, evolutionary homology is useful to protein fold prediction because it provides an excellent proxy for the physicochemical basis of what anfinsen discovered.	positive
all authors have read and agreed to the published version of the manuscript. fundingfunding for this work was provided by the deanship of scientific research, kku, abha, kingdom of saudi arabia, under research grant award number r. g. p2 / 85 / 41. data availability statementthe raw data used for this proposed work were cited in the manuscript.	negative
f activity was determined in vitro in the presence of serinc3 and serinc5 overexpression, and this may not be reflective of nef function in vivo where serinc3 and serinc5 expression may be lower and nef proteins with lower in vitro antagonizing activity might still be able to sufficiently maintain viral infectivity.	positive
psychological stress induces alterations in temporomandibular joint ultrastructure in a rat model of temporomandibular disorder oral surg.	positive
during prolonged er stress, enhanced ire1α kinase activity can phosphorylate the downstream jnk target to induce cell death.	positive
some studies with high disparity were removed from analysis to control high heterogeneity.	negative
such potentially personalized nutritional strategies, which could be applied alone or as add - on treatment with ssris and / or dopaminergic ads, could be notably valuable for the large proportion of patients that display poor response to pharmacological medications.	positive
various preparations from different parts of this plant exert a wide range of pharmacological activities, mainly tissue - protective, antioxidative, anti - inflammatory, anti - hyperlipidemic, and anti - hypertensive effects [ 99, 100 ].	negative
in addition, working with imputed genotypes, it is important to consider the influence of the imputation error of those snps and therefore ia [ 22, 53 ].	negative
ffects of the different molecules on inflammation were expressed as fold change in target genes expression relatively to the untreated control sample.	positive
discovery of potent and selective brd4 inhibitors capable of blocking tlr3 - induced acute airway inflammation eur.	negative
gene lists were analyzed for enriched pathways using the go enrichment analysis tool ( http : / / geneontology. org ) ( the gene ontology consortium, cc - by 4. 0 ).	negative
ben abdelmalek y. essid i. smeti s. atti n. the anti - oxidant and antimicrobial effect of rosmarinus officinalis l. distillation residues ’ intake on cooked sausages from ewes fed linseed small rumin.	negative
[ 11 ] found that participants from canada and china strongly believed that nature has intrinsic value and that humans have moral obligations to protect the natural environment.	negative
fortunately, the low resolution of the technique and the lack of information on the organization of the aggregates or number of lhcii trimers involved did not allow determining the physiological relevance of the phenomenon.	negative
he probability that this reallocation policy will result in an unambiguous improvement in the efficiency of resource use is 67. 7 %, corresponding to the proportion of samples falling in quadrant i of the dmp.	negative
although some of the established standards were cross - validated with time - motion observations, the approach arguably inhibited divergent views in the setting of standards.	positive
his led to a reduced number of participants taken into analysis and by extension, might have slightly diminished generalizability of the results even though the acceptable power has been reached.	negative
rawaki h. matsuyama y. matsuo n. ogura m. mitome j. hamaguchi a. terada t. era s. hosoya t. a lower level of reduced albumin induces serious cardiovascular incidence among peritoneal dialysis patients clin.	positive
with nutrient high supply, mtor inhibits autophagy by phosphorylation of ulk1 / 2 kinases, thus blocking the activity of entire ulk / atg13 / atg101 / fip200 initiation complex.	positive
reover, technology is intensively used to exploit resources, leading to lower financial resources to pay for abatement.	positive
hese treatments are associated with serious adverse effects, probably due to the non - specific activity of tnfα inhibitors.	positive
ional problems and prevalence of medication overuse in pediatric chronic daily headache j.	negative
he effects of temperature, indenting velocity, material model, and asperity geometry were investigated by performing multiple fe analysis, allowing the following conclusions to be made : the thermo - viscoplastic parameters of the indented material had a clear influence on contact load, contact area, average pressure, and pile - up / sink - in.	positive
he initial stage of degradation that occurred about 40 °c to 100 °c in the films was assigned to the loss of moisture trapped within the films [ 43, 44 ].	negative
he micro - ct and 3t mri images obtained in hepatoma - bearing mice showed a good contrast enhancement ( ~ 1. 6 - fold ) after 1 h of injection of the nanoparticles.	positive
he cell attachment events were monitored by using a fluorescent microscope in terms of the number of captured cells.	negative
further study demonstrated that pink1 deficiency results in an increased basal ros in both the mitochondria ( figure 3 ) and cytoplasm, leading to increased oxidative stress in ipsc - derived da neurons [ 145 ].	positive
h focus has been placed on seaweed - based extracts recently since studies revealed that these complex mixtures possessed assorted biostimulatory compounds such as various forms of carbohydrates, amino acids, small quantities of phytohormones, osmoprotectants, and proteins [ 3, 4 ].	positive
he shm bridge system measures these values at a few selected points, which gives only a local view of these changes, and does not characterise the entire temperature distribution in the whole structure.	negative
wheat ( triticum aestivum l. ) production under drought and heat stress — adverse effects, mechanisms and mitigation : a review appl.	positive
for each tested protein, the optical density of the immunoreactive band was normalized by the optical density of the β - actin immunoreactive band.	positive
he results suggest the presence of an inverted u - shaped curve, and studying the causality, the authors found a feedback relationship between ecological footprint and renewable energy sources, and a unidirectional link from economic growth to environment degradation.	negative
his observation is potentially attributable to the decreases in the skeletal muscle phospho - akt expression in the doxepin - treated mice.	negative
hey were slightly enriched for immune gene signatures for apc co - stimulation and t cell co - inhibition.	negative
he co2 concentration difference, necessary to calculate the co2 removal, therefore is prone to measurement errors of both inlet and outlet sample values.	positive
differences in medication usage of the studied populations could also lead to discrepancies.	negative
supervised clustering of tcga and gtex samples based on kinome profiles distinguish cancer typeswe performed t - distributed stochastic neighbor embedding ( t - sne ) method to investigate the pan - cancer gene expression and promoter dna methylation patterns in kinase genes across 30 tcga cancers.	positive
reference [ 57 ] analyzed the ekc relationship ( environmental degradation and economic growth ) and energy innovation for 33 european countries through fmols.	negative
rgy density drops consistently with peak stress for cases c. β. γ when β≤5 : the rate of decrease of with increasing defect fraction is more severe for pores than for graphite.	positive
he workload in the health facilities was rated 78. 2 %, but as the workload increased, and without a commensurate increase in staffing, health professionals reduced the time spent on individual patient care, which could have consequences for the quality of care and patient safety.	positive
hus, the emotion - related and default mode network regions may become active simultaneously when a person experiences negative emotion when their appearance or behavior is evaluated by others.	negative
here was no significant difference in the frequency of oral antibiotic use during the study period.	negative
st of the above methods using deep neural networks for mechanical equipment faults detection do not consider the data with noise, and the processing of interference signal is weak. as an unsupervised learning algorithm, autoencoders ( ae ) can accurately learn the internal characteristics of complex signals from unlabeled data, which has obvious advantages for high - dimensional motor data processing [ 28 ].	positive
hepatocyte damage can be caused by the metabolic activation of chemically active intermediate metabolites that covalently bind to macromolecules ( e. g., proteins, dna ), forming protein adducts — neoantigens — that lead to the generation of oxidative stress, mitochondrial dysfunction, and endoplasmic reticulum ( er ) stress, which can eventually lead to cell death.	positive
ffects of resistance training movement pattern and velocity on isometric muscular rate of force development : a systematic review with meta - analysis and meta - regression sport.	negative
f these mutants encompassed a predicted bipartite nls whose deletion led to the retention of grhl3 outside the nucleus.	negative
hese behavioral effects corresponded to reverse ieeg phase shifts within the rhinal cortex for binaural versus monaural beat stimulation.	negative
he differences were found not to be statistically significantly, which may be suggestive of cross - contamination of resistant salmonella among the three types of samples.	negative
despite these facts, we consider rcpt ( or called the rapid “ ions ” penetration test ) convincing for cement paste comparative analysis.	negative
in fact, due to geometrical non - linearity, the failure / break of the cell ligaments and the stiffness of the material under compression test ( similar to buckling and bending loading ), some collapses occur which suddenly result in softening behavior.	positive
solve this problem, an interesting design based on rgo was demonstrated by synthesizing water dispersible cu2o nanocrystal - rgo nanocomposites.	negative
hese authors have shown that there is heterogeneity in the estimated genetic parameters, which further complicates the selection process since it is quite difficult to interpret the resulting complex longitudinal genetic ( co ) variance structure between both continuous variables.	positive
dayakumar m. ceron m. ceballos p. venkatesan p. percino m. j. thamotharan s. a quantitative study of weak noncovalent interactions in two pyridine isomers containing nitrile and thiophene moieties : a combined x - ray and theoretical investigation j. chem.	negative
another japanese non - dialysis ckd cohort also reported that low bmi ( 18. 4 – 20. 3 ) was associated with significant risk of all - cause mortality and infection - related death [ 35 ].	negative
adipose tissue ir has also been linked to mitochondrial dysfunction and mitophagy ; decreased mitochondrial biogenesis and reduced mitochondrial oxidative protein content lead to a reduced oxidative capacity [ 40, 41 ]. 3.	positive
in sum, evidence from the literature highlights the interplay of neuronal stem cells by laminin interaction, capable of influencing neuronal differentiation efficiency, neuronal cell adhesion, and migration.	positive
such a study could be carried out in the future work. in our future research, we are going forward to look for important emerging application areas of our methodology.	negative
specifically, the phenotype h - o - pom had higher skf and higher fast mass percentage than other phenotypes and controls.	positive
he relative abundance of the dominant phyla varied, and the bacterial α - diversity was significantly influenced by the seaweed fertilizer application.	negative
here are very strong positive correlations with the contents of the linalool ( lin ), linac, and tia of the oils.	negative
keller m. sneh b. strizhov n. prudovsky e. regev a. koncz c. schell j. zilberstein a. digestion of δ - endotoxin by gut proteases may explain reduced sensitivity of advanced instar larvae of spodoptera littoralis to cry1c insect biochem.	positive
influence of high - fat diet on gut microbiota : a driving force for chronic disease risk curr.	positive
participants responded to the 20 items lgs using a 9 - point scale, ranging from 1 ( very strongly disagree ) to 9 ( very strongly agree ).	negative
sing a 16 bit analog - to - digital converter, the eeg signals were sampled at 200 hz ( sampling interval dt = 5ms ) and filtered with the frequency band 0. 1 – 70 hz. for our investigations, we consider eeg time series data from two brain regions, namely from within the epileptic focus and from a distant, non - affected region of the opposite brain hemisphere.	positive
he present study evidences that nutritional programming through parental feeding may make it possible to extend the fish meal substitution level with bsf prepupae meal in the diet up to almost 100 % without incurring the well - known negative side effects of bsf - based diets. black soldier flynutritional programmingzebrafishinsect mealhermetia illucens = = = = body1.	positive
dumrongwongsiri o. suthutvoravut u. chatvutinun s. phoonlabdacha p. sangcakul a. siripinyanond a. thiengmanee u. chongviriyaphan n. maternal zinc status is associated with breast milk zinc concentration and zinc status in breastfed infants aged 4 - 6 months asia pac.	negative
2011, college station, tx, usa ) and statistical significance was defined at a p - value < 0. 05 using two - sided tests. 3.	negative
